,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
711,Accident,Fatal(1),Destroyed,Airplane,Boeing,A75,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,Maneuvering,27-04-1983
712,Accident,Non-Fatal,Destroyed,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,27-04-1983
713,Accident,Non-Fatal,Substantial,Airplane,Piper,601P,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Approach,27-04-1983
714,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-23-250T,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,27-04-1983
715,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,27-04-1983
716,Accident,Fatal(1),Substantial,Glider,Raz-mut,440A,1.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Takeoff,27-04-1983
717,Accident,Fatal(1),Destroyed,Airplane,Cessna,411A,2.0,Reciprocating,Ferry,1.0,0.0,0.0,1.0,Takeoff,28-04-1983
718,Accident,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,28-04-1983
719,Accident,Non-Fatal,Substantial,Airplane,Mooney,M20J,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Takeoff,28-04-1983
720,Accident,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,28-04-1983
721,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,28-04-1983
722,Accident,Non-Fatal,Substantial,Airplane,Beech,BE-19,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,28-04-1983
723,Accident,Non-Fatal,Destroyed,Airplane,Smith,AEROSTAR 600,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Descent,29-04-1983
724,Accident,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Landing,29-04-1983
725,Accident,Non-Fatal,Substantial,Airplane,Cessna,210B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,29-04-1983
726,Accident,Non-Fatal,Substantial,Airplane,Christian,EAGLE II,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,29-04-1983
727,Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,29-04-1983
728,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,29-04-1983
729,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,29-04-1983
